publisher,metric,count
"SAGE PublicationsSage CA: Los Angeles, CA",FsF-R1.3-02D,60
"SAGE PublicationsSage CA: Los Angeles, CA",FsF-A1-01M,2
Sage Journals,FsF-F3-01M,116
Sage Journals,FsF-A1-03D,116
Sage Journals,FsF-R1.1-01M,107
Sage Journals,FsF-R1.3-02D,116
Sage Journals,FsF-A1-01M,8
SAGE Publications,FsF-F3-01M,150
SAGE Publications,FsF-A1-03D,150
SAGE Publications,FsF-R1.1-01M,148
SAGE Publications,FsF-R1.3-02D,150
SAGE Publications,FsF-F4-01M,23
SAGE Publications,FsF-A1-01M,37
SAGE Publications,FsF-R1-01MD,25
Multidisciplinary Digital Publishing Institute,FsF-F3-01M,117
Multidisciplinary Digital Publishing Institute,FsF-A1-01M,117
Multidisciplinary Digital Publishing Institute,FsF-A1-03D,117
Multidisciplinary Digital Publishing Institute,FsF-R1.1-01M,117
Multidisciplinary Digital Publishing Institute,FsF-R1.3-02D,117
MDPI,FsF-F3-01M,46
MDPI,FsF-A1-01M,46
MDPI,FsF-A1-03D,46
MDPI,FsF-R1.1-01M,46
MDPI,FsF-R1.3-02D,46
Springer US,FsF-F3-01M,123
Springer US,FsF-A1-03D,123
Springer US,FsF-R1.1-01M,109
Springer US,FsF-R1.3-02D,123
Springer US,FsF-A1-01M,23
Springer,FsF-F3-01M,900
Springer,FsF-A1-03D,900
Springer,FsF-R1.1-01M,804
Springer,FsF-R1.3-02D,900
SpringerLink,FsF-F3-01M,1139
SpringerLink,FsF-A1-03D,1139
SpringerLink,FsF-R1.1-01M,1043
SpringerLink,FsF-R1.3-02D,1139
SpringerLink,FsF-A1-01M,232
SpringerLink,FsF-I3-01M,35
Annual Reviews,FsF-F3-01M,32
Annual Reviews,FsF-A1-01M,32
Annual Reviews,FsF-A1-03D,32
Annual Reviews,FsF-R1.1-01M,32
Annual Reviews,FsF-R1.3-02D,32
Annual Reviews,FsF-I3-01M,8
Springer Netherlands,FsF-F3-01M,103
Springer Netherlands,FsF-A1-03D,103
Springer Netherlands,FsF-R1.1-01M,87
Springer Netherlands,FsF-R1.3-02D,103
Springer Netherlands,FsF-A1-01M,27
Springer Netherlands,FsF-I3-01M,3
LWW,FsF-F3-01M,154
LWW,FsF-F4-01M,154
LWW,FsF-A1-01M,154
LWW,FsF-A1-03D,154
LWW,FsF-I3-01M,72
LWW,FsF-R1.1-01M,154
LWW,FsF-R1.3-02D,154
D. Steinkopff-Verlag,FsF-F3-01M,12
D. Steinkopff-Verlag,FsF-A1-03D,12
D. Steinkopff-Verlag,FsF-R1.1-01M,10
D. Steinkopff-Verlag,FsF-R1.3-02D,12
Molecular Diversity Preservation International,FsF-F3-01M,21
Molecular Diversity Preservation International,FsF-A1-01M,21
Molecular Diversity Preservation International,FsF-A1-03D,21
Molecular Diversity Preservation International,FsF-R1.1-01M,21
Molecular Diversity Preservation International,FsF-R1.3-02D,21
MDPI AG,FsF-F3-01M,40
MDPI AG,FsF-A1-01M,40
MDPI AG,FsF-A1-03D,40
MDPI AG,FsF-R1.1-01M,40
MDPI AG,FsF-R1.3-02D,40
Springer International Publishing,FsF-F3-01M,103
Springer International Publishing,FsF-A1-03D,103
Springer International Publishing,FsF-R1.1-01M,96
Springer International Publishing,FsF-R1.3-02D,103
Springer International Publishing,FsF-A1-01M,27
Springer International Publishing,FsF-I3-01M,5
"Chinese Chemical SocietyZhongguancun, Haidian, Beijing 100190, China",FsF-F3-01M,1
"Chinese Chemical SocietyZhongguancun, Haidian, Beijing 100190, China",FsF-A1-03D,1
"Chinese Chemical SocietyZhongguancun, Haidian, Beijing 100190, China",FsF-R1.1-01M,1
"Chinese Chemical SocietyZhongguancun, Haidian, Beijing 100190, China",FsF-R1.3-02D,1
CCS Chemistry,FsF-F3-01M,1
CCS Chemistry,FsF-A1-03D,1
CCS Chemistry,FsF-R1.1-01M,1
CCS Chemistry,FsF-R1.3-02D,1
Chinese Chemical Society,FsF-F3-01M,2
Chinese Chemical Society,FsF-A1-03D,2
Chinese Chemical Society,FsF-R1.1-01M,2
Chinese Chemical Society,FsF-R1.3-02D,2
Springer Berlin Heidelberg,FsF-F3-01M,547
Springer Berlin Heidelberg,FsF-A1-03D,547
Springer Berlin Heidelberg,FsF-R1.3-02D,547
Springer Berlin Heidelberg,FsF-R1.1-01M,444
Springer Berlin Heidelberg,FsF-A1-01M,257
Springer Berlin Heidelberg,FsF-I3-01M,25
Ovid Technologies (Wolters Kluwer Health),FsF-F3-01M,226
Ovid Technologies (Wolters Kluwer Health),FsF-F4-01M,184
Ovid Technologies (Wolters Kluwer Health),FsF-A1-01M,200
Ovid Technologies (Wolters Kluwer Health),FsF-A1-03D,226
Ovid Technologies (Wolters Kluwer Health),FsF-R1.1-01M,222
Ovid Technologies (Wolters Kluwer Health),FsF-R1.3-02D,226
Ovid Technologies (Wolters Kluwer Health),FsF-R1-01MD,20
The Royal Society of Chemistry,FsF-F3-01M,322
The Royal Society of Chemistry,FsF-A1-03D,322
The Royal Society of Chemistry,FsF-R1.1-01M,322
The Royal Society of Chemistry,FsF-R1.3-02D,322
Nature Publishing Group US,FsF-F3-01M,84
Nature Publishing Group US,FsF-A1-03D,84
Nature Publishing Group US,FsF-R1.1-01M,81
Nature Publishing Group US,FsF-R1.3-02D,84
Springer Japan,FsF-F3-01M,6
Springer Japan,FsF-A1-03D,6
Springer Japan,FsF-R1.1-01M,4
Springer Japan,FsF-R1.3-02D,6
Oxford University Press,FsF-F3-01M,218
Oxford University Press,FsF-A1-01M,218
Oxford University Press,FsF-A1-03D,218
Oxford University Press,FsF-R1.1-01M,218
Oxford University Press,FsF-R1.3-02D,218
Oxford Academic,FsF-F3-01M,215
Oxford Academic,FsF-A1-01M,215
Oxford Academic,FsF-A1-03D,215
Oxford Academic,FsF-R1.1-01M,215
Oxford Academic,FsF-R1.3-02D,215
OUP Academic,FsF-F3-01M,216
OUP Academic,FsF-A1-01M,216
OUP Academic,FsF-A1-03D,216
OUP Academic,FsF-R1.1-01M,216
OUP Academic,FsF-R1.3-02D,216
Oxford University Press (OUP),FsF-F3-01M,411
Oxford University Press (OUP),FsF-A1-01M,411
Oxford University Press (OUP),FsF-A1-03D,411
Oxford University Press (OUP),FsF-R1.1-01M,411
Oxford University Press (OUP),FsF-R1.3-02D,411
Oxford University Press (OUP),FsF-F4-01M,107
Oxford University Press (OUP),FsF-R1-01MD,107
Springer-Verlag,FsF-F3-01M,1093
Springer-Verlag,FsF-A1-03D,1093
Springer-Verlag,FsF-R1.1-01M,1045
Springer-Verlag,FsF-R1.3-02D,1093
Springer-Verlag,FsF-A1-01M,2
© Georg Thieme Verlag KG,FsF-F3-01M,5
© Georg Thieme Verlag KG,FsF-A1-01M,5
© Georg Thieme Verlag KG,FsF-A1-03D,5
© Georg Thieme Verlag KG,FsF-R1.1-01M,5
© Georg Thieme Verlag KG,FsF-R1.3-02D,5
Georg Thieme Verlag KG,FsF-F3-01M,54
Georg Thieme Verlag KG,FsF-A1-01M,54
Georg Thieme Verlag KG,FsF-A1-03D,54
Georg Thieme Verlag KG,FsF-R1.1-01M,54
Georg Thieme Verlag KG,FsF-R1.3-02D,54
Georg Thieme Verlag KG,FsF-I3-01M,1
Georg Thieme Verlag KG,FsF-R1-01MD,2
