publisher,metric,count
MDPI AG,FsF-A1-01M,100
MDPI AG,FsF-A1-03D,100
MDPI AG,FsF-R1.1-01M,100
MDPI AG,FsF-R1.3-02D,100
MDPI AG,FsF-I3-01M,2
American Society for Microbiology,FsF-F3-01M,117
American Society for Microbiology,FsF-F4-01M,112
American Society for Microbiology,FsF-A1-01M,112
American Society for Microbiology,FsF-A1-03D,117
American Society for Microbiology,FsF-R1-01MD,112
American Society for Microbiology,FsF-R1.1-01M,117
American Society for Microbiology,FsF-R1.3-02D,117
Springer Berlin Heidelberg,FsF-F3-01M,175
Springer Berlin Heidelberg,FsF-A1-01M,56
Springer Berlin Heidelberg,FsF-A1-03D,175
Springer Berlin Heidelberg,FsF-R1.1-01M,145
Springer Berlin Heidelberg,FsF-R1.3-02D,175
"Springer, Berlin, Heidelberg",FsF-F3-01M,28
"Springer, Berlin, Heidelberg",FsF-A1-01M,27
"Springer, Berlin, Heidelberg",FsF-A1-03D,28
"Springer, Berlin, Heidelberg",FsF-R1.1-01M,28
"Springer, Berlin, Heidelberg",FsF-R1.3-02D,28
Kluwer Academic Publishers,FsF-F3-01M,20
Kluwer Academic Publishers,FsF-A1-03D,20
Kluwer Academic Publishers,FsF-R1.1-01M,20
Kluwer Academic Publishers,FsF-R1.3-02D,20
Kluwer Academic Publishers,FsF-A1-01M,2
ChemRxiv,FsF-F3-01M,7
ChemRxiv,FsF-A1-01M,7
ChemRxiv,FsF-A1-03D,7
ChemRxiv,FsF-I3-01M,7
ChemRxiv,FsF-R1-01MD,7
ChemRxiv,FsF-R1.1-01M,7
ChemRxiv,FsF-R1.3-02D,7
The Royal Society of Chemistry,FsF-F3-01M,150
The Royal Society of Chemistry,FsF-A1-03D,150
The Royal Society of Chemistry,FsF-R1.1-01M,150
The Royal Society of Chemistry,FsF-R1.3-02D,150
The Royal Society of Chemistry,FsF-I3-01M,2
The Japanese Society for Medical Mycology,FsF-F3-01M,1
The Japanese Society for Medical Mycology,FsF-A1-01M,1
The Japanese Society for Medical Mycology,FsF-A1-03D,1
The Japanese Society for Medical Mycology,FsF-R1-01MD,1
The Japanese Society for Medical Mycology,FsF-R1.1-01M,1
The Japanese Society for Medical Mycology,FsF-R1.3-02D,1
Zenodo,FsF-F3-01M,74
Zenodo,FsF-A1-03D,74
Zenodo,FsF-I1-01M,74
Zenodo,FsF-R1.3-02D,74
Zenodo,FsF-A1-01M,8
Oxford University Press,FsF-F3-01M,96
Oxford University Press,FsF-A1-01M,96
Oxford University Press,FsF-A1-03D,96
Oxford University Press,FsF-R1.1-01M,96
Oxford University Press,FsF-R1.3-02D,96
Oxford Academic,FsF-F3-01M,95
Oxford Academic,FsF-A1-01M,95
Oxford Academic,FsF-A1-03D,95
Oxford Academic,FsF-R1.1-01M,95
Oxford Academic,FsF-R1.3-02D,95
OUP Academic,FsF-F3-01M,96
OUP Academic,FsF-A1-01M,96
OUP Academic,FsF-A1-03D,96
OUP Academic,FsF-R1.1-01M,96
OUP Academic,FsF-R1.3-02D,96
IntechOpen,FsF-F3-01M,4
IntechOpen,FsF-A1-03D,4
IntechOpen,FsF-R1.1-01M,4
IntechOpen,FsF-R1.3-02D,4
InTech,FsF-F3-01M,4
InTech,FsF-A1-03D,4
InTech,FsF-R1.1-01M,4
InTech,FsF-R1.3-02D,4
Springer Netherlands,FsF-F3-01M,48
Springer Netherlands,FsF-A1-03D,48
Springer Netherlands,FsF-R1.1-01M,46
Springer Netherlands,FsF-R1.3-02D,48
Springer Netherlands,FsF-A1-01M,12
Nature Publishing Group US,FsF-F3-01M,23
Nature Publishing Group US,FsF-A1-03D,23
Nature Publishing Group US,FsF-R1.1-01M,18
Nature Publishing Group US,FsF-R1.3-02D,23
American Society for Clinical Investigation,FsF-F3-01M,14
American Society for Clinical Investigation,FsF-A1-01M,14
American Society for Clinical Investigation,FsF-A1-03D,14
American Society for Clinical Investigation,FsF-R1.1-01M,14
American Society for Clinical Investigation,FsF-R1.3-02D,14
"eLife Sciences Publications, Ltd",FsF-F3-01M,77
"eLife Sciences Publications, Ltd",FsF-A1-03D,77
"eLife Sciences Publications, Ltd",FsF-R1.1-01M,77
"eLife Sciences Publications, Ltd",FsF-R1.3-02D,77
"eLife Sciences Publications, Ltd",FsF-F4-01M,14
"eLife Sciences Publications, Ltd",FsF-A1-01M,14
"eLife Sciences Publications, Ltd",FsF-I3-01M,14
"eLife Sciences Publications, Ltd",FsF-R1-01MD,14
eLife Sciences Publications Limited,FsF-F3-01M,28
eLife Sciences Publications Limited,FsF-A1-03D,28
eLife Sciences Publications Limited,FsF-R1.1-01M,28
eLife Sciences Publications Limited,FsF-R1.3-02D,28
eLife Sciences Publications Limited,FsF-F4-01M,7
eLife Sciences Publications Limited,FsF-A1-01M,7
eLife Sciences Publications Limited,FsF-I3-01M,7
eLife Sciences Publications Limited,FsF-R1-01MD,7
eLife,FsF-F3-01M,21
eLife,FsF-A1-03D,21
eLife,FsF-R1.1-01M,21
eLife,FsF-R1.3-02D,21
LWW,FsF-F3-01M,29
LWW,FsF-F4-01M,29
LWW,FsF-A1-01M,29
LWW,FsF-A1-03D,29
LWW,FsF-I3-01M,8
LWW,FsF-R1.1-01M,29
LWW,FsF-R1.3-02D,29
arXiv.org,FsF-F3-01M,3
arXiv.org,FsF-A1-03D,3
arXiv.org,FsF-I1-01M,3
arXiv.org,FsF-I3-01M,1
arXiv.org,FsF-R1.3-02D,3
arXiv.org,FsF-A1-01M,1
arXiv,FsF-F3-01M,3
arXiv,FsF-A1-03D,3
arXiv,FsF-I1-01M,3
arXiv,FsF-I3-01M,1
arXiv,FsF-R1.3-02D,3
arXiv,FsF-A1-01M,1
Cold Spring Harbor Laboratory,FsF-F3-01M,434
Cold Spring Harbor Laboratory,FsF-A1-03D,434
Cold Spring Harbor Laboratory,FsF-R1.1-01M,434
Cold Spring Harbor Laboratory,FsF-R1.3-02D,434
Cold Spring Harbor Laboratory,FsF-F4-01M,12
Cold Spring Harbor Laboratory,FsF-A1-01M,12
Cold Spring Harbor Laboratory,FsF-I3-01M,9
Cold Spring Harbor Laboratory,FsF-R1-01MD,12
bioRxiv,FsF-F3-01M,100
bioRxiv,FsF-A1-03D,100
bioRxiv,FsF-R1.1-01M,100
bioRxiv,FsF-R1.3-02D,100
Beilstein-Institut zur Förderung der Chemischen Wissenschaften.,FsF-F3-01M,7
Beilstein-Institut zur Förderung der Chemischen Wissenschaften.,FsF-A1-03D,7
Beilstein-Institut zur Förderung der Chemischen Wissenschaften.,FsF-R1.3-02D,7
Beilstein-Institut,FsF-F3-01M,14
Beilstein-Institut,FsF-A1-03D,14
Beilstein-Institut,FsF-R1.3-02D,14
Informa UK Limited,FsF-F3-01M,22
Informa UK Limited,FsF-F4-01M,22
Informa UK Limited,FsF-A1-01M,22
Informa UK Limited,FsF-A1-03D,22
Informa UK Limited,FsF-R1-01MD,22
Informa UK Limited,FsF-R1.1-01M,22
Informa UK Limited,FsF-R1.3-02D,22
Royal Society of Chemistry (RSC),FsF-F3-01M,94
Royal Society of Chemistry (RSC),FsF-A1-03D,94
Royal Society of Chemistry (RSC),FsF-R1.1-01M,94
Royal Society of Chemistry (RSC),FsF-R1.3-02D,94
Springer International Publishing,FsF-F3-01M,31
Springer International Publishing,FsF-A1-01M,19
Springer International Publishing,FsF-A1-03D,31
Springer International Publishing,FsF-R1.1-01M,23
Springer International Publishing,FsF-R1.3-02D,31
"Springer, Cham",FsF-F3-01M,12
"Springer, Cham",FsF-A1-01M,12
"Springer, Cham",FsF-A1-03D,12
"Springer, Cham",FsF-R1.1-01M,12
"Springer, Cham",FsF-R1.3-02D,12
Springer Medizin,FsF-F3-01M,6
Springer Medizin,FsF-A1-03D,6
Springer Medizin,FsF-R1.1-01M,6
Springer Medizin,FsF-R1.3-02D,6
Heighten Science Publications Corporation,FsF-F3-01M,1
Heighten Science Publications Corporation,FsF-F4-01M,1
Heighten Science Publications Corporation,FsF-A1-01M,1
Heighten Science Publications Corporation,FsF-A1-03D,1
Heighten Science Publications Corporation,FsF-I3-01M,1
Heighten Science Publications Corporation,FsF-R1-01MD,1
Heighten Science Publications Corporation,FsF-R1.1-01M,1
Heighten Science Publications Corporation,FsF-R1.3-02D,1
JAPAN ANTIBIOTICS RESEARCH ASSOCIATION,FsF-F3-01M,41
JAPAN ANTIBIOTICS RESEARCH ASSOCIATION,FsF-A1-01M,41
JAPAN ANTIBIOTICS RESEARCH ASSOCIATION,FsF-A1-03D,41
JAPAN ANTIBIOTICS RESEARCH ASSOCIATION,FsF-R1.1-01M,41
JAPAN ANTIBIOTICS RESEARCH ASSOCIATION,FsF-R1.3-02D,41
Japan Antibiotics Research Association,FsF-F3-01M,78
Japan Antibiotics Research Association,FsF-A1-01M,78
Japan Antibiotics Research Association,FsF-A1-03D,78
Japan Antibiotics Research Association,FsF-R1.1-01M,78
